doctor_id,first_name,last_name,specialization,phone,email,rating
b4cc04a7-a848-4eb5-8d93-fd58086f8f5f,Maureen,Bond,Neurology,(714) 212-2769,michaellong@kim-west.com,3.8
1711bf7f-3dc8-47f6-9ec6-0e512a37e372,Mary,Macias,Neurology,(581) 173-1946,james40@vazquez.org,3.2
f4e65f3f-7c2a-4082-8424-59ba50baedff,Mckenzie,Martinez,Pediatrics,(844) 976-8096,masonjennifer@howell.com,4
4f11295e-bd5b-46bb-aa3a-3207c99bae65,Adam,Stone,Neurology,(755) 166-1946,tristanbolton@hotmail.com,3.9
4f6f3276-9bcf-45c7-84cd-efccc53d7332,Steven,Hinton,Dermatology,(467) 930-8082,melissa14@gmail.com,4.6
782733b3-4552-468e-a64d-92a1a8cf70cb,Carol,Miles,Dermatology,(136) 960-3554,annapena@clements.org,3.3
68b66b82-3bfe-421e-b8f8-19305043e6b1,Kelly,Hill,Pediatrics,(152) 497-6632,michaelhobbs@wilson-norris.biz,4.4
a296ba87-fa91-4278-bbcf-3e0a99c19055,Kelly,Smith,Neurology,(770) 211-7743,larrypham@yahoo.com,3.7
f511fd75-38e2-4615-b3e1-d9b1644b3743,Chloe,Johnson,Pediatrics,(103) 416-1102,nathantorres@hotmail.com,4.9
8d0d9a06-c3d8-4c80-9f02-19bdcc141fc2,Philip,Glover,Dermatology,(618) 405-2208,jonathan56@watts-foster.com,4.3
369a80c7-73ad-4987-87c6-d5a10fba5130,Jay,Baldwin,Cardiology,(233) 838-8945,austinsoto@rivera-elliott.info,3.3
a906f95f-dd3c-40c8-9ed7-9d4c463f7463,Frank,Davis,Orthopedics,(703) 982-6587,cmckinney@beard.com,3.7
87c30c0d-851e-4297-ab76-e35f8c68af84,Darryl,Simpson,Orthopedics,(483) 904-7730,pearsoncarl@pena.biz,3
00b4d736-9e43-4ab1-86a2-f519abaa16cc,Donna,Brown,Neurology,(411) 851-1290,rfuller@hotmail.com,4.8
8e4d706a-c6b8-4dd3-b590-5e7e5db01912,Matthew,Moody,Dermatology,(871) 132-6961,candice19@bell-hunt.org,3.5
5f2df668-6ac8-4edc-96d6-444777845586,Stephanie,Zamora,Neurology,(835) 435-9491,garciaandrew@garza.com,4.6
dce0c42d-e9a4-4a56-bb58-d297adcb7ade,Alexandra,Sanders,Pediatrics,(750) 769-7601,washingtondanielle@hotmail.com,4
4692f989-0740-4fe0-bbda-a87953c6f035,Julie,Patterson,Pediatrics,(769) 481-9531,caitlin37@gmail.com,4.8
60c8e830-467f-46e2-beb9-0b14902f0bb6,Matthew,Owens,Dermatology,(662) 253-9780,gouldcody@medina.info,4.3
2518bc75-84f5-4d41-a149-aa9c5541cbed,Brandon,Finley,Orthopedics,(871) 832-6908,timothy67@yahoo.com,3.3
